"filename", "language", "JavaScript", "JSON", "HTML", "SCSS", "vue", "Batch", "Markdown", "YAML", "XML", "comment", "blank", "total"
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\slider.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\star.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\swagger.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\switch.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\system.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\tab.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\table.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\textarea.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\theme.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\time-range.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\time.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\tool.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\tree-table.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\tree.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\upload.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\user.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\validCode.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\wechat.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\zip.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svgo.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 13, 5, 23
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\images\dark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 39
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\images\light.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 39
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\styles\btn.scss", "SCSS", 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 17, 100
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\styles\element-ui.scss", "SCSS", 0, 0, 0, 71, 0, 0, 0, 0, 0, 6, 15, 92
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\styles\element-variables.scss", "SCSS", 0, 0, 0, 13, 0, 0, 0, 0, 0, 10, 9, 32
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\styles\index.scss", "SCSS", 0, 0, 0, 148, 0, 0, 0, 0, 0, 1, 34, 183
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\styles\mixin.scss", "SCSS", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 11, 67
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\styles\ruoyi.scss", "SCSS", 0, 0, 0, 227, 0, 0, 0, 0, 0, 13, 52, 292
